Type;Totaal leeftijd man en vrouw;Totaal leeftijd man;Totaal leeftijd vrouw;0 tot 65 jaar man en vrouw;0 tot 65 jaar man;0 tot 65 jaar vrouw;65 tot 80 jaar man en vrouw;65 tot 80 jaar man;65 tot 80 jaar vrouw;80 jaar of ouder man en vrouw;80 jaar of ouder man;80 jaar of ouder vrouw
2019 week 40*;2713;1368;1345;403;229;174;817;493;324;1493;646;847
2019 week 41*;2911;1481;1430;412;263;149;943;569;374;1556;649;907
2019 week 42*;2877;1407;1470;382;222;160;912;523;389;1583;662;921
2019 week 43*;2867;1435;1432;402;233;169;935;551;384;1530;651;879
2019 week 44*;2852;1412;1440;392;216;176;882;500;382;1578;696;882
2019 week 45*;3011;1512;1499;463;267;196;851;499;352;1697;746;951
2019 week 46*;3057;1509;1548;457;262;195;920;517;403;1680;730;950
2019 week 47*;3019;1428;1591;389;224;165;922;520;402;1708;684;1024
2019 week 48*;3037;1504;1533;422;227;195;940;567;373;1675;710;965
2019 week 49*;3013;1469;1544;405;227;178;916;514;402;1692;728;964
2019 week 50*;3148;1540;1608;426;240;186;1015;586;429;1707;714;993
2019 week 51*;3235;1608;1627;450;261;189;992;564;428;1793;783;1010
2019 week 52*;2997;1453;1544;400;237;163;924;529;395;1673;687;986
2020 week 1*;3094;1090;1152;271;148;123;631;381;250;1340;561;779
2020 week 2*;3364;1676;1688;432;253;179;967;546;421;1965;877;1088
2020 week 3*;3150;1525;1625;416;248;168;911;516;395;1823;761;1062
2020 week 4*;3040;1466;1574;352;214;138;933;535;398;1755;717;1038
2020 week 5*;3156;1572;1584;447;277;170;920;535;385;1789;760;1029
2020 week 6*;3186;1587;1599;397;236;161;979;572;407;1810;779;1031
2020 week 7*;3195;1506;1689;408;224;184;937;524;413;1850;758;1092
2020 week 8*;2952;1480;1472;338;190;148;867;533;334;1747;757;990
2020 week 9*;3083;1496;1587;400;227;173;904;521;383;1779;748;1031
2020 week10*;3083;1504;1579;386;223;163;878;497;381;1819;784;1035
2020 week 11*;3182;1577;1605;399;243;156;934;536;398;1849;798;1051
